is_urban,population_density,water_source,water_treatment,ph,avg_temperature_c,avg_rainfall_mm,avg_humidity_pct,flooding,Outbreak_Risk
0,1061,3,3,7.34,31.6,14.7,50.4,0,1
1,8344,2,3,8.14,19.4,26.9,51.5,0,0
0,107,5,0,7.91,42.1,10.8,34.1,0,0
0,321,4,2,6.62,40.3,18.2,25.3,0,1
1,348,2,0,7.93,19,18,33.5,0,1
1,423,4,1,8.25,18.3,6.3,37.4,0,0
1,357,5,3,7.63,38.7,63.2,42.3,0,1
0,423,2,1,7.1,29.2,30.9,52.9,0,0
0,1074,0,3,7.05,34,72.5,57.7,0,1
0,769,4,3,7,31.6,470.1,74.4,1,1
1,985,1,1,7.98,37.9,46.4,28.2,0,0
0,735,0,1,7.49,15.8,7.5,39.1,0,0
0,480,3,3,7.48,19,8,37.5,0,1
1,1578,6,2,8.3,26.1,62.8,51.5,0,0
0,1483,0,0,7.26,36.7,353.1,68.3,0,1
0,613,3,3,7.1,39.5,24.7,26.9,0,1
0,336,0,3,7.33,29.8,44,58.9,1,1
0,829,1,2,6.61,33.8,101,80.3,0,1
0,164,0,0,7.7,36.2,451,73.1,0,0
0,1414,5,3,6.57,29.4,20.8,66.1,0,1
0,430,1,3,7.17,28,77.1,57.5,0,1
1,518,5,0,7.08,41.3,31.6,46.5,0,1
0,97,2,2,8.18,26.8,30.7,77.9,0,0
0,467,2,2,8.33,37,79,51,0,0
1,279,3,3,7.4,20.1,34.8,44.8,0,1
0,2134,5,0,7.1,30.5,52.4,62.4,1,1
1,1241,2,2,7.71,25.7,24.5,46.1,1,0
0,768,3,3,6.87,33.4,401.5,94.9,0,1
1,482,0,2,7.31,14.8,19,39.8,0,0
0,638,6,3,7.79,31.4,21.1,52.5,0,1
0,1276,1,2,7.34,27.8,476.7,88.4,0,0
1,411,0,3,7.73,30.8,37.7,41.1,0,1
1,215,1,2,6.93,36.4,18.5,21,0,1
1,467,1,3,6.34,28.6,55.6,63.1,0,1
0,440,1,3,6.73,32.6,725.7,87.2,0,1
1,963,5,3,6.93,45.5,14.8,31.9,0,1
1,1102,2,3,6.93,28.9,252.4,64.3,0,0
0,616,5,3,6.87,34.6,226.3,88.5,0,1
1,1397,5,3,7.37,35.7,795.8,81.6,0,1
1,567,3,3,7.1,35.2,589.1,88,1,1
0,2207,3,3,6.41,28.1,444,92.9,0,1
0,196,3,3,7.9,31.5,100.4,87.2,0,1
0,461,3,3,6.2,29.3,303.4,94.5,0,1
1,109,4,2,7.39,14.9,16.7,53.9,0,0
1,289,3,2,8,40.4,46.8,36.8,0,0
0,489,5,3,7.48,35.1,20.5,49.8,0,1
1,578,3,2,7.5,23.2,28.1,62.3,0,0
0,257,1,3,6.25,29.1,483.2,94.8,1,1
0,9645,5,3,7.26,42.2,59.8,37.1,0,1
1,497,1,3,7.28,35.4,26.9,27.7,0,0
1,1067,2,0,6.96,22.9,22.7,50,0,0
1,113,4,3,6.4,25.6,33.4,77.8,1,1
1,678,3,2,7.65,27.4,31.7,47.7,1,1
1,67,5,3,7.17,18.2,35.5,71.6,0,1
0,102,3,3,6.85,12.4,7.7,53.5,0,1
0,9040,2,0,8.23,28.8,34.7,63.7,1,0
1,892,5,0,6.93,35.1,16.2,45.1,0,1
1,403,2,1,7.67,28.1,228.9,75.4,1,0
1,216,0,0,6.97,27.6,25,52.9,0,0
1,512,5,3,6.75,26,32.5,45.3,0,1
1,989,0,1,8.02,38.2,23.4,40.3,0,0
0,67,5,2,7.82,37,59,26.7,0,0
0,509,5,2,7.48,44.9,45.2,59.2,0,1
1,100,5,2,7.99,17,12.3,35.8,0,1
1,309,0,2,7.98,23.1,25.3,46.7,0,0
1,376,2,2,8.21,27.1,34.2,48.1,0,0
0,359,3,3,7.14,32.6,57.5,50.9,0,1
1,478,2,0,7.6,26,70.2,76.1,0,0
1,125,2,2,8.12,13.4,23,51.7,0,0
1,776,5,2,7.79,19.4,5.4,42.8,0,0
0,254,3,3,7.27,34.7,108.4,90.2,0,1
1,317,3,3,8.18,31,166.7,87.6,1,1
1,184,2,0,8.11,23.3,41.7,62.7,0,0
0,363,5,3,6.93,27.8,528.4,95.5,0,1
1,773,1,3,7.06,30.1,240,84,0,1
0,434,4,3,7.42,23.7,49.4,77.4,0,1
0,546,0,3,7.03,32,27,48.1,0,1
0,348,4,1,8.45,36,51.3,50.7,0,0
1,782,1,3,7.33,41,29.5,64.5,0,1
0,1468,2,1,6.83,30.8,41.6,64.6,0,0
1,11999,1,3,7.31,28.6,304.6,77.6,1,1
0,830,0,1,8.34,31.8,651.8,80.5,1,0
0,303,2,3,7.56,35.4,324.1,93,1,1
0,349,3,3,6.12,19,39.4,49.2,0,1
1,95,0,0,6.95,30.5,461,78.1,0,0
1,204,4,2,7.61,30,41,57.5,0,0
1,576,1,0,6.47,32.4,483.5,90.3,0,1
1,494,1,3,7.35,28,478.4,82.5,1,1
0,46,2,2,6.83,16.2,7.7,63.6,0,1
1,14,2,0,8.14,33.7,165.1,71.4,0,0
1,851,6,3,7.56,27.1,191.8,88,0,1
0,1094,1,1,7.25,33.5,623.4,73,1,0
1,958,2,3,7.08,37.7,44.8,54.7,0,1
0,320,3,3,6.93,34.4,39.7,30.8,0,0
1,725,6,3,7.02,6.2,25.4,42,0,1
1,419,2,1,7.93,16.1,7.7,51.3,0,1
1,472,0,0,7.14,15.4,16,51.5,0,0
0,35,1,3,7.53,13.8,20.6,60.5,0,1
1,435,2,2,8.49,28.7,466.6,80.2,1,0
0,207,0,0,7.66,35.7,301.5,79.4,0,1
0,961,1,2,7.54,27.7,611.5,86.9,1,1
0,117,2,1,7.66,37.2,417.6,88.1,0,0
0,886,0,2,6.99,44.4,48.3,42.5,0,0
0,263,1,3,6.66,29,21.3,57.4,0,1
0,192,1,0,7.3,22,96.8,57.3,0,1
0,634,2,3,6.68,38.6,34.8,53.8,0,1
1,264,1,1,7.47,45.2,46.4,44.6,0,0
0,3,5,3,7.1,28.4,367.3,77.7,0,1
1,375,3,1,7.8,36.9,28.9,56.7,0,1
0,136,3,3,7.19,35.4,385.9,84.1,0,1
1,363,2,3,8.14,29.8,252.9,72.6,0,0
1,515,0,3,7.19,32.5,417.3,73.6,0,0
0,903,2,1,8.03,40.1,55.9,40.7,0,0
0,413,1,3,6.92,34.9,676,89.7,0,1
1,658,3,3,6.6,34,269.3,91.2,1,1
0,1138,0,3,7.79,20.9,38.7,60.2,1,1
1,131,2,1,7.98,33.7,367.5,75.9,0,0
0,147,1,2,7.44,23.6,27.1,56.2,0,1
0,547,4,2,8.06,36.2,285.1,65.7,0,0
0,1458,1,2,6.78,32.3,311.4,66.9,0,1
1,641,2,0,7.05,31.8,46.2,42.1,0,0
1,52,0,1,6.55,24.9,460.7,88,0,1
1,624,3,2,7.04,35.4,59,50.9,0,1
1,412,6,0,6.87,9.8,8,54.5,0,0
1,11,0,1,8.35,21.4,96.1,62.4,0,0
0,543,3,3,7.88,28.2,878.4,95,0,1
1,1134,3,2,8.17,33.4,20.3,55.9,0,0
0,508,0,2,7.11,29.4,611.3,92.6,1,0
0,342,3,3,6.47,34.2,425.4,68.9,1,1
1,814,5,0,6.67,32.9,166.3,80.7,0,1
0,279,2,3,8.02,22.4,61,68.1,0,0
1,485,6,1,7.24,35.9,20.8,26.8,0,0
0,857,6,3,6.91,25.2,33.9,62.6,0,1
1,480,5,3,7.86,35.5,645.9,81.3,0,1
1,868,0,2,8.24,35.3,40.2,41.7,0,0
1,579,0,2,7.04,33.6,721.2,72.3,1,1
0,522,2,2,7.23,22.1,24.7,56.3,0,0
1,158,2,2,8.11,28.1,692.9,84,0,0
0,379,5,3,6.45,26.8,24.1,41.2,1,1
1,397,1,3,6.97,28,13.8,49,1,1
1,1111,0,3,6.47,28.3,272.2,75.2,0,1
0,418,5,3,6.49,18.8,14.6,34.7,0,1
1,21,0,1,7.61,18.4,28.3,52.8,0,0
0,101,2,1,6.99,32,364.7,69.1,0,0
1,40,2,0,6.82,27.3,109.9,63.6,0,0
0,473,3,3,6.51,28.4,51.8,59.6,0,1
1,163,0,0,7.66,8.9,13.4,51.3,0,0
0,828,6,2,7.37,31,278,90.9,0,1
0,1028,2,0,6.93,22.3,37.3,57.7,1,0
0,1295,5,3,6.39,36.1,21.6,34.9,0,1
0,357,5,2,7.75,32.4,477.7,91.2,0,1
0,1474,3,3,6.52,48,43.8,48.9,0,1
0,1034,3,3,7.03,36.9,408.7,74,0,1
1,395,2,1,7.9,23,934.3,81.8,1,0
1,412,2,3,7.78,23.3,50.6,64.5,0,1
1,783,1,3,7.34,25,23.2,45.6,0,1
1,82,0,0,6.84,13.4,17.7,45.5,0,0
0,457,1,3,7.43,34.3,37.2,34.9,0,1
0,900,5,3,7.5,35.8,163.7,74.2,0,1
1,648,4,3,6.61,25,678.1,94.3,0,1
1,484,1,3,7.73,40.1,35.4,46.3,0,1
0,580,3,1,7.53,22.6,28.5,60.5,1,0
0,431,6,3,7.21,30.6,119.4,82.3,0,1
0,453,6,2,6.58,31.8,50.5,62.3,0,1
1,532,3,0,7.61,29.1,161,68.3,0,1
0,305,2,1,7.46,23.4,53.6,58.5,0,0
0,316,6,1,7.53,32.1,304.8,78.2,0,0
0,433,5,1,7,27.9,588.6,75.1,0,1
1,230,0,0,7.95,28.8,671,88.5,0,0
0,134,3,3,7.45,23.6,634.2,96.8,0,1
0,1114,1,3,6.67,30.7,282.2,79.4,0,1
1,107,6,0,8.47,8.5,7.9,30.4,0,0
1,412,0,1,7.22,41.8,35.4,44,0,0
1,351,5,3,7.29,34.6,667,85.4,0,1
1,577,6,1,7.43,32.3,656.6,82.3,0,0
0,264,2,0,7.63,23.7,28.4,68.4,0,0
0,1059,0,0,7.33,14.5,14.3,46.2,0,0
1,438,0,1,8.42,36.3,42.7,53.3,0,0
0,772,0,3,6.87,27.6,21.2,63.3,1,1
1,922,4,1,6.94,32.8,31.5,46.2,0,0
0,789,3,3,6.78,28.2,533.2,93.2,1,1
0,8967,1,3,7.74,39.1,11.6,30.3,0,1
0,382,2,3,6.65,25.6,30,40.5,0,1
1,118,0,3,8.06,11.3,20.9,49.6,0,0
1,42,5,3,6.78,34.1,67.9,70.5,0,1
1,99,3,3,6.49,23.5,30.8,72.2,0,1
1,88,1,0,7.42,11.9,15.2,33.8,0,0
1,147,0,3,6.32,38.8,44.2,44,0,1
0,239,5,3,7.14,44.2,70.4,52.1,0,1
1,353,3,2,6.93,26,278.6,62.5,0,1
1,412,2,1,8.1,19.3,46.7,46.9,0,0
0,673,0,2,7.11,31.2,15.2,57.6,1,1
0,756,0,3,7.77,32.7,164.7,79.1,0,1
0,580,3,1,7.26,24.8,28.3,54.9,1,1
0,593,2,1,7.16,38.9,46.4,57.8,0,0
1,517,6,2,7.35,22,14.8,36.6,0,0
1,303,0,3,7.49,33.1,352.6,86.1,0,1
0,1454,2,1,7.78,31.5,676,78,0,0
0,76,1,2,7.09,20.7,40.4,55.1,0,0
0,1393,2,2,7.62,13.6,22.1,38.1,0,0
0,356,1,2,7.14,34.7,111.9,78,0,1
1,549,1,3,7.17,30.4,292.6,84.6,1,1
1,1665,6,1,7.15,18.1,9.3,56.8,0,0
0,473,1,3,7.19,29.9,416.4,74.3,0,1
0,92,6,3,6.77,11.3,25,55.9,0,1
1,792,3,3,6.93,21.8,34.3,52.7,0,1
0,249,2,0,6.67,25.9,20.9,70.8,1,1
1,192,2,2,7.27,24,83.4,74.2,0,0
0,627,1,3,7.1,35.4,8.8,46.5,0,1
1,965,2,0,8.36,11.4,20,51.7,0,0
1,397,0,2,7.92,16.2,13.1,55.6,0,0
1,1457,0,2,6.52,38,208.8,82.5,0,1
0,312,3,0,7.18,32.8,41.9,41.8,0,1
0,178,3,3,7.3,18.1,19.2,50.4,0,1
0,919,0,3,7.71,22.4,29.3,55,0,1
1,1093,1,0,8.09,32.5,118.6,86,1,0
0,348,0,0,6.85,16.8,17,57.4,0,0
1,1291,2,3,7.57,44,21.6,53.4,0,0
1,375,0,2,7.15,16,7.6,32.6,0,0
0,28,1,3,7.91,24,702,83.7,0,1
0,34,1,1,7.4,30.5,628.1,94.4,0,0
0,9610,3,3,7.79,13.8,6.9,58.2,0,1
0,275,3,3,7.22,28,292.1,86.7,0,1
1,8904,2,3,6.82,30.9,37.2,48.3,1,1
0,549,3,2,7.5,27.7,363.5,65.4,0,1
1,1035,4,1,8.36,30.7,45.8,67.2,1,0
0,324,0,1,7.42,43,24.1,20.8,0,0
0,284,3,2,6.52,10.9,9.3,38.5,0,1
0,206,6,2,6.57,31.2,35.5,58.3,0,1
0,536,5,3,7.69,35.5,203.3,94.1,0,1
0,1496,1,1,7.51,18.5,14.5,39.9,0,0
0,180,5,1,6.65,29.4,145.6,92.9,0,1
1,340,1,3,6.34,31.5,446,93.2,0,1
1,318,3,3,6.36,34.5,155.3,71.3,1,1
0,417,0,1,6.93,41.2,38.5,45.3,0,0
0,309,5,0,7.75,34.5,24.9,25.3,0,0
0,105,0,3,7.04,22.2,13.1,56.3,0,1
0,1269,3,3,7.65,28.1,154.8,82.1,0,1
0,471,0,3,7.33,26.1,225.2,71.2,0,1
1,373,5,2,7.97,31.5,475.7,89.3,0,0
0,231,0,3,7.76,32.8,405,74.1,0,1
1,30,2,0,7.76,31.3,487,88.3,1,0
1,82,2,2,6.97,35.9,11.2,33.6,0,0
0,558,0,3,6.75,26.3,632.1,83.6,0,1
0,396,5,3,7.16,31.1,38.8,64.2,0,1
0,371,0,2,6.44,36.7,262.5,68.8,1,1
0,130,0,3,6.68,30.7,369.5,80.7,1,1
1,568,0,1,7.14,31.9,39.4,55.6,0,0
0,175,2,0,8.06,21.9,46.6,64.3,1,0
1,87,2,3,7.16,34.1,485.3,89,1,1
1,582,4,2,7.25,30.4,104.7,73.9,0,0
0,31,3,3,6.96,24,450.1,88,0,1
1,1074,5,3,7.01,36.6,366,75.5,1,1
1,336,0,0,7.91,39.3,12.2,22.1,0,0
1,339,3,3,6.22,25.7,787.6,85.5,0,1
0,154,5,3,7.8,28.5,187,62.1,0,1
1,783,2,2,7.12,28.3,253.3,65.6,0,0
0,553,2,3,6.97,26.4,196.4,78.4,1,1
0,483,2,1,7.14,30.7,22.1,48.8,0,0
1,173,1,3,6.73,29.3,131.5,69.2,0,1
0,154,3,3,6.2,30.6,206.2,67.9,0,1
0,437,6,1,7.74,22.5,16,62,0,0
0,103,3,3,7.14,21.9,56.2,63.9,0,1
0,283,5,3,6.92,25.1,47.9,57.2,1,1
0,392,4,3,7.12,30.2,372.8,65.2,1,1
1,415,3,3,6.53,19.3,9.1,57.7,0,1
1,409,0,3,6.7,43.8,16.6,20.2,0,1
0,418,5,3,7.46,28.9,22.2,52.2,0,1
0,672,3,3,7.72,18.5,27.1,47.5,0,1
1,167,0,1,6.91,31.3,81.7,55.5,0,1
1,226,2,2,7.24,34.4,31.6,57,0,0
1,10025,1,0,7.94,28.7,149.7,75.4,0,0
0,460,5,2,7.38,25.1,25.2,56.9,1,1
1,477,0,0,7.29,38.7,54.4,59.2,0,0
0,119,2,0,7.03,24.7,49.3,42.8,1,0
0,390,0,3,8.05,22.6,15.1,52.8,0,0
0,386,0,1,7.85,33.3,694.5,70.6,0,0
0,822,3,3,6.73,45.3,14.7,53,0,1
0,360,3,3,6.92,12.2,17.1,53.3,0,1
0,553,5,0,7.33,32.8,140,59.4,0,0
0,247,4,3,7.77,30.8,72.7,73,0,1
0,224,6,3,8.43,26.3,36.5,54,0,0
1,67,2,1,6.82,26.3,85.1,60.3,0,0
0,168,3,2,7.03,34.5,270.9,67.4,0,1
0,371,5,3,7.3,21.9,16.3,50.9,0,1
0,141,2,0,7.69,29.4,19.6,40.7,0,0
0,438,5,3,7.41,30.5,798.5,84.9,0,1
1,1148,1,0,7.35,29.3,13.3,55.1,1,0
0,1476,2,1,7.18,41.6,58.8,51,0,0
1,453,3,3,7.74,43.1,54.2,38.7,0,1
0,427,2,0,7.04,27.1,90.5,80.4,1,1
1,746,3,3,7.55,27.7,181,79.4,0,1
1,53,2,0,7.26,10.6,6,42.6,0,0
0,1338,1,3,7.34,21.9,25.8,60.1,0,1
0,260,0,1,7.44,28.2,237.9,95.8,0,1
0,767,3,0,6.72,28.8,420.8,85.5,0,1
0,1078,2,3,6.86,35.4,39.9,48.5,0,1
1,316,3,1,7.62,32.6,411.1,79.6,0,1
1,513,6,3,6.74,20.7,9.4,38.8,0,1
0,189,2,2,6.81,35.4,40.8,30.7,0,0
0,298,6,3,6.41,14.5,10.5,51.8,0,1
1,308,3,0,7.47,33.9,134.7,72.4,0,0
1,442,5,1,6.84,31.3,185.8,81.8,0,0
0,434,0,1,7.52,33.3,207.6,89.2,1,0
1,255,0,0,7.69,34.3,453.9,87.3,0,0
1,1348,1,3,6.96,32.3,214.9,76.3,0,1
0,627,1,3,7.29,24.9,38.2,41,0,1
0,1174,5,3,7.52,47.1,29.2,42.1,0,1
1,346,1,0,7.22,34.9,67,46.3,0,1
0,439,5,3,6.87,17.9,10.4,35.7,0,1
0,188,5,1,6.89,36.8,461.2,90.2,1,1
1,423,1,0,7.7,26.2,20,54,0,1
1,1234,1,1,7.03,17.3,21,37.9,0,0
0,895,1,3,7.34,41.8,39.7,40,0,1
1,512,0,3,6.87,27.5,657.1,76.9,0,1
0,289,3,3,7.1,34.8,382.9,77.8,0,1
1,439,1,0,7.07,23.9,7.6,37.5,0,1
0,467,5,3,7.35,28.4,145.8,71.7,0,1
0,157,5,1,6.6,27.6,95.7,65.3,0,1
0,354,0,0,6.72,33.7,142.2,66.8,0,1
1,797,3,1,6.92,30.3,629.9,70.4,0,0
1,231,1,2,6.82,17.6,28.9,30.5,0,0
0,311,3,3,7.93,30.3,169.7,70.8,1,1
1,1305,2,3,7.52,14.4,15.6,58.6,0,1
0,383,3,3,8.33,24,36.5,50.4,0,0
0,703,4,0,7.06,31,235.5,74.4,0,0
1,464,0,1,8.05,20.7,86,57,0,0
0,963,5,3,6.19,32.3,209.2,89.6,0,1
1,84,6,3,7.96,30.3,320.4,93,0,1
0,486,1,3,6.67,37.6,37.1,38.7,0,1
0,644,2,1,7.4,33.4,28.6,30.4,0,0
0,770,5,3,6.2,34.3,278.6,96.1,0,1
0,286,3,1,6.98,40.6,15.2,46.4,0,0
0,267,4,3,6.2,30.9,588.9,82.7,0,1
1,229,2,1,8.08,44.3,32.8,33.1,0,0
0,133,5,1,7.51,32.8,257.3,74.9,0,1
0,213,0,3,6.99,13.8,5.7,52.7,0,1
0,472,5,3,7.14,25.4,22.1,57,1,1
0,285,2,1,7.12,14.2,6.4,38.7,0,0
1,11530,0,1,6.96,23.2,38.1,40.5,1,1
0,348,3,3,6.59,28.6,629,69.1,0,1
0,97,2,1,6.84,14.2,19.8,49.4,0,0
0,206,4,1,7,31.6,37.2,62.9,0,0
1,830,1,1,7.57,44.8,36.9,31.9,0,0
0,313,2,0,7.39,24.3,84.8,58.1,0,0
0,518,0,3,7.36,28.1,20,63.8,0,1
0,1122,0,0,7,37.6,34.2,36.9,0,0
0,591,0,3,7.6,28.6,77.7,68.8,0,1
0,386,6,2,7.23,28.1,52.7,42.7,1,0
1,730,0,1,7.8,20.8,43.2,42.3,1,0
0,122,2,3,6.88,31.8,316.1,74.2,0,1
0,11834,3,3,6.51,20.4,10.2,62.6,0,1
0,1655,6,1,7.81,17.2,7,35.6,0,0
1,1276,2,1,7,6.5,18.6,34.7,0,0
1,551,2,0,7.1,26.7,89.8,69.6,0,0
1,192,1,2,7.41,21.2,56.8,60.2,1,0
1,638,5,3,6.89,31.6,14.2,59.2,0,1
0,161,2,3,6.97,31,539.9,91.5,0,1
0,348,1,3,7.48,26.4,750.3,87.2,1,1
0,1323,3,3,7.11,33,170.6,65.5,0,1
0,391,3,3,7.67,30,129.7,81.1,0,1
1,148,0,1,8.02,30.8,421.5,65.9,0,0
0,332,6,3,7.33,35.3,42,55.2,0,1
0,307,1,0,6.88,31.8,630.2,83.2,0,0
0,798,5,2,8.03,31.1,457.3,80.7,1,0
1,280,3,2,6.75,32.2,186.1,92,0,1
0,265,2,2,6.96,31,147.6,76.4,0,0
0,472,2,0,6.96,19.7,9,47.5,0,0
0,82,5,0,7.72,23,397.8,95.3,0,1
0,439,0,3,7.1,32.3,276,81.6,0,1
0,1226,5,3,6.63,22.2,43.2,64.5,0,1
1,288,0,2,6.9,26.4,37.2,57,0,0
0,480,2,0,7.41,31.5,49.9,60.4,0,1
0,276,1,3,6.61,29.5,662.4,77.6,0,1
0,764,2,1,8.26,37,31.2,38.1,0,0
1,465,5,1,7.72,25.6,20.5,68.3,0,0
0,1345,2,2,8.41,37.5,392,66.1,0,0
1,365,1,2,8.11,29.2,162.8,85.1,0,0
1,310,5,3,6.62,34.6,222.5,73.6,0,1
0,496,5,3,6.52,8.2,12.7,40.8,0,1
1,324,2,1,8.27,32,262.6,73.9,0,0
1,561,6,2,7.1,34.2,480.9,73,0,1
1,312,6,3,7.61,25.4,51,75.2,1,1
1,419,2,1,7,31.2,578.3,82.9,0,0
0,626,5,3,7.38,34.8,203.6,95.5,0,1
0,245,5,3,7.91,32,634.9,92.3,0,1
0,222,1,3,6.58,26.1,205.4,83.6,0,1
1,1203,2,3,7.73,35.5,43.8,37.4,0,0
0,1316,5,3,7.13,35.1,46.6,49.5,0,1
0,439,1,3,6.65,47.6,17,44.2,0,1
0,321,0,1,7.06,29.6,75.8,61.4,0,0
0,1176,1,0,7.43,24.4,46.6,66.4,0,0
0,407,6,1,7.91,27.9,381,73.4,0,1
1,413,1,3,7.26,27.9,75.3,59.3,0,1
1,364,5,3,7.6,29.4,57.3,52,0,1
1,791,5,3,7.14,35.6,318.6,70.7,0,1
0,580,6,3,7.01,33.2,300.3,96.9,1,1
1,1516,5,2,6.9,11.7,20.3,51,0,1
1,109,3,3,6.55,30.5,345.2,92.6,0,1
0,924,5,3,6.5,33.4,504.8,90.8,0,1
1,1682,0,0,6.32,20.2,18,42.1,0,1
0,603,3,1,8.27,30,52.6,51.6,0,0
0,9969,6,3,7.26,8.8,24.2,33.6,0,1
0,605,3,3,7.04,31,498.4,84.7,0,1
0,1786,5,3,6.69,28.6,64.5,50.3,0,1
1,514,1,2,7.69,27.2,249.4,84.8,0,0
0,1115,0,3,7.16,13.7,11.7,44.7,0,1
0,412,3,3,7.63,40,57.6,54.4,0,1
1,711,2,3,7.18,32,18.3,52,1,0
1,1185,2,1,7.38,36.6,30.4,51.3,0,0
0,60,0,0,8.43,12.9,15,51.2,0,0
0,633,6,3,6.99,15.6,29,31.8,0,1
1,449,5,3,6.51,34.3,448.4,72.5,0,1
0,323,6,2,6.76,35.8,600.4,89.3,0,1
1,215,4,3,7.39,33.2,199.3,74.8,0,1
0,701,1,3,6.86,33.6,329.3,76,0,1
0,11060,5,3,7.14,36.6,111.4,86,1,1
0,1355,1,2,6.58,13.8,15.5,54.6,0,1
1,565,4,1,7.53,31.2,47.4,47.9,0,0
0,1148,5,3,7.08,30.4,122.2,78,1,1
1,400,2,2,7.54,24.8,78.9,57.2,0,1
1,312,0,1,8.02,39.7,33,47.7,0,0
1,657,2,1,7.25,34.9,51.2,46,0,0
0,264,5,3,7.19,36.6,209.4,84.1,0,1
1,716,4,2,6.91,29.8,216.2,80.9,1,0
0,451,5,3,7.45,20.9,51.3,75.3,0,1
0,101,2,1,7.41,12,27.8,62.3,0,0
1,307,3,2,7.23,34.7,550.7,95.2,1,1
0,783,4,1,8.43,33.7,165.1,71.8,0,0
0,92,3,3,6.89,35.1,149.7,67.4,1,1
1,97,0,0,8.09,29.9,487.4,78.8,0,0
1,1262,2,3,7.59,35.9,42.3,56.1,0,1
0,405,5,3,6.98,34.4,375.4,94.9,0,1
1,652,3,3,6.48,29.6,56.6,41.7,0,1
1,8338,0,1,7.81,39.5,11,34.6,0,0
1,204,1,2,7.99,24.2,43.8,41.9,0,1
1,573,0,2,8.1,26.7,45.5,67.2,0,0
0,177,0,3,7.32,27,20.2,58.2,0,1
1,703,1,1,7.08,18.2,18.1,48.2,0,0
1,10057,2,2,7.62,18.4,27.5,30,0,0
1,80,0,3,7.14,21.6,32.9,56.9,0,1
1,450,0,1,7.17,26.5,399.1,77.7,0,0
1,494,0,2,8.33,45.6,26.4,54,0,0
1,1171,3,3,7.52,35.1,455.6,67.2,0,0
0,156,3,3,6.85,27.8,44.5,60.8,0,1
1,1217,0,3,7.93,29.9,313.4,72.9,1,0
0,830,1,3,6.35,31.5,554.1,75.6,0,1
0,904,1,1,7.04,29.9,261,96.6,1,1
0,32,1,3,7.98,25.4,83.7,72.6,0,1
0,295,2,1,7.37,20.5,10.6,50.5,0,0
1,477,0,2,7.5,27.6,16.5,61.5,0,0
0,176,5,3,6.68,22.8,36.1,61.7,0,1
0,389,0,3,6.9,28.5,436.3,89.9,0,1
0,769,0,3,6.87,35.3,242.3,73.5,1,1
1,302,3,3,7.84,28.4,932,88.2,0,1
0,1111,4,3,8.16,29.8,47.2,48.1,1,0
1,92,1,1,8.47,12.9,27.9,57.8,0,0
1,699,3,2,6.86,19.2,17.7,58.5,0,0
1,142,2,2,8.42,18.9,5.9,31.7,0,0
0,278,2,1,7.31,11.3,6.4,53.3,0,1
0,8765,1,1,7.75,35.7,166.4,89.6,0,1
1,204,6,3,7.02,35.9,154.3,90.9,0,1
1,163,2,0,8.15,34.2,498.4,80.2,0,0
0,1471,2,1,8.06,46.9,47.4,35.4,0,0
1,444,0,3,6.51,31.4,911.9,82.2,0,1
1,27,6,0,6.86,31.1,734.8,96.2,0,1
0,235,6,2,7.48,33.7,199.6,84.7,0,1
1,840,2,0,6.81,12.6,23.9,59.1,0,0
0,781,2,3,7.17,34,548.6,97.3,0,1
0,459,0,1,6.92,25.8,44.4,40,0,1
1,772,5,3,6.65,23.6,100.6,61.1,0,1
1,1345,2,2,7.96,14.4,24,54.5,0,0
0,1719,1,1,7.05,28.2,802.7,85,0,0
0,93,1,3,7.94,29.4,465.5,83.8,0,1
1,1397,1,1,7.59,28.4,295.5,77,0,0
1,393,2,2,6.67,40.1,13.5,28.2,0,1
1,164,2,1,8.32,14.5,17.7,47.3,0,0
1,434,3,3,7.21,24.4,38.3,63.4,0,1
0,637,5,3,6.73,22.5,10.7,51.6,0,1
0,394,3,3,7.76,20.6,37.1,64.4,0,1
0,342,0,1,7.82,24.3,440.2,95.8,1,0
0,155,3,3,7.5,18.1,26.5,62.9,0,1
0,411,3,3,6.96,16,24.3,44,0,1
0,348,5,3,6.85,20.8,26.3,63.3,0,1
0,9844,0,3,7.77,29.2,18.8,42.8,0,1
1,254,0,1,7.42,27,10,41.6,1,0
1,176,5,2,7.51,25.9,47.9,59,0,1
0,276,5,3,7.27,35.5,427.2,67.7,0,1
1,514,2,1,7.88,37,35.7,38.8,0,0
0,549,3,3,6.7,12.5,8.9,40.8,0,1
1,1122,2,0,8.09,31.9,26.1,51.6,0,0
0,496,4,2,6.66,35,34.5,44.9,0,1
1,616,2,2,8.15,19.3,10.9,53,0,0
1,877,1,1,6.86,38.5,68,49.3,0,0
0,734,3,3,7.5,26.9,33.8,55.8,0,1
0,239,5,3,6.87,28.5,171.7,57,0,1
1,247,0,2,7.45,7.8,21.2,43.9,0,0
0,264,2,0,7.58,25.1,45,65,0,0
1,302,1,2,7.05,47.1,36.9,33.7,0,1
0,903,1,2,6.74,37.2,124,92.7,0,1
0,136,3,2,6.68,43.9,50.6,32.6,0,1
1,1102,0,1,7.91,18.9,28.4,58,0,0
1,422,0,0,7.52,39.9,23.6,46.9,0,0
0,1253,5,3,6.94,34.6,404,74,0,1
0,1098,3,1,7.13,39.5,27.3,44.6,0,1
1,613,6,1,7.85,47.3,13.9,30.8,0,0
1,456,5,0,7.48,8.8,14,60.3,0,0
